"","id","county","tot_pop","non_wa_percentage"
"406","0500000US13037","Calhoun County, Georgia",6389,0.670840507121615
"407","0500000US13039","Camden County, Georgia",53005,0.300518818979342
"408","0500000US13043","Candler County, Georgia",10706,0.381748552213712
"409","0500000US13045","Carroll County, Georgia",117390,0.289666922225062
"410","0500000US13047","Catoosa County, Georgia",66495,0.091134671779833
"411","0500000US13049","Charlton County, Georgia",12810,0.385167837626854
"412","0500000US13051","Chatham County, Georgia",289309,0.513831232350186
"413","0500000US13053","Chattahoochee County, Georgia",10205,0.419108280254777
"414","0500000US13055","Chattooga County, Georgia",24746,0.172472318758587
"415","0500000US13057","Cherokee County, Georgia",247763,0.210055577305732
"416","0500000US13059","Clarke County, Georgia",126815,0.449158222607736
"417","0500000US13061","Clay County, Georgia",2955,0.644331641285956
"418","0500000US13063","Clayton County, Georgia",284184,0.899322270078541
"419","0500000US13065","Clinch County, Georgia",6643,0.348035526117718
"420","0500000US13067","Cobb County, Georgia",752649,0.478294663249403
"421","0500000US13069","Coffee County, Georgia",42880,0.4171875
"422","0500000US13071","Colquitt County, Georgia",45480,0.441666666666667
"423","0500000US13073","Columbia County, Georgia",151529,0.312006282625768
"424","0500000US13075","Cook County, Georgia",17213,0.354209028060187
"425","0500000US13077","Coweta County, Georgia",143153,0.288684135156092
"426","0500000US13079","Crawford County, Georgia",12263,0.264535594878904
"427","0500000US13081","Crisp County, Georgia",22710,0.49845882870982
"428","0500000US13083","Dade County, Georgia",16254,0.062692260366679
"429","0500000US13085","Dawson County, Georgia",24406,0.0775219208391379
"430","0500000US13087","Decatur County, Georgia",26706,0.496405302179286
